worksheet,Repeat run,Group,Scenario ID,Question number,condition,score
Sheet2 Results,2,L1,L1-6,6,RAG,0.96142578125
Sheet3 Results,3,L1,L1-6,6,No-RAG,0.9384765625
Sheet3 Results,3,L1,L1-6,6,RAG,0.9501953125
Sheet1 Results,1,L2,L2-1,1,No-RAG,0.638671875
Sheet1 Results,1,L2,L2-1,1,RAG,0.79248046875
Sheet2 Results,2,L2,L2-1,1,No-RAG,0.64453125
Sheet2 Results,2,L2,L2-1,1,RAG,0.78955078125
Sheet3 Results,3,L2,L2-1,1,No-RAG,0.634765625
Sheet3 Results,3,L2,L2-1,1,RAG,0.7861328125
Sheet1 Results,1,L2,L2-2,2,No-RAG,0.6044921875
Sheet1 Results,1,L2,L2-2,2,RAG,0.7744140625
Sheet2 Results,2,L2,L2-2,2,No-RAG,0.62744140625
Sheet2 Results,2,L2,L2-2,2,RAG,0.76806640625
Sheet3 Results,3,L2,L2-2,2,No-RAG,0.60400390625
Sheet3 Results,3,L2,L2-2,2,RAG,0.791015625
Sheet1 Results,1,L2,L2-3,3,No-RAG,0.796875
Sheet1 Results,1,L2,L2-3,3,RAG,0.8359375
Sheet2 Results,2,L2,L2-3,3,No-RAG,0.78369140625
Sheet2 Results,2,L2,L2-3,3,RAG,0.81396484375
Sheet3 Results,3,L2,L2-3,3,No-RAG,0.7744140625
Sheet3 Results,3,L2,L2-3,3,RAG,0.79638671875
Sheet1 Results,1,L2,L2-4,4,No-RAG,0.810546875
Sheet1 Results,1,L2,L2-4,4,RAG,0.98681640625
Sheet2 Results,2,L2,L2-4,4,No-RAG,0.8037109375
Sheet2 Results,2,L2,L2-4,4,RAG,0.9677734375
Sheet3 Results,3,L2,L2-4,4,No-RAG,0.783203125
Sheet3 Results,3,L2,L2-4,4,RAG,0.98291015625
Sheet1 Results,1,L2,L2-5,5,No-RAG,0.70166015625
Sheet1 Results,1,L2,L2-5,5,RAG,0.857421875
Sheet2 Results,2,L2,L2-5,5,No-RAG,0.74072265625
Sheet2 Results,2,L2,L2-5,5,RAG,0.85888671875
Sheet3 Results,3,L2,L2-5,5,No-RAG,0.7177734375
Sheet3 Results,3,L2,L2-5,5,RAG,0.87353515625
Sheet1 Results,1,L2,L2-6,6,No-RAG,0.83251953125
Sheet1 Results,1,L2,L2-6,6,RAG,0.9248046875
Sheet2 Results,2,L2,L2-6,6,No-RAG,0.84326171875
Sheet2 Results,2,L2,L2-6,6,RAG,0.9384765625
Sheet3 Results,3,L2,L2-6,6,No-RAG,0.85009765625
Sheet3 Results,3,L2,L2-6,6,RAG,0.92919921875
Sheet1 Results,1,L3,L3-1,1,No-RAG,0.82763671875
Sheet1 Results,1,L3,L3-1,1,RAG,0.8857421875
Sheet2 Results,2,L3,L3-1,1,No-RAG,0.82421875
Sheet2 Results,2,L3,L3-1,1,RAG,0.8837890625
Sheet3 Results,3,L3,L3-1,1,No-RAG,0.7841796875
Sheet3 Results,3,L3,L3-1,1,RAG,0.91455078125
Sheet1 Results,1,L3,L3-2,2,No-RAG,0.7294921875
Sheet1 Results,1,L3,L3-2,2,RAG,0.77734375
Sheet2 Results,2,L3,L3-2,2,No-RAG,0.73046875
Sheet2 Results,2,L3,L3-2,2,RAG,0.81298828125
Sheet3 Results,3,L3,L3-2,2,No-RAG,0.68505859375
Sheet3 Results,3,L3,L3-2,2,RAG,0.81103515625
Sheet1 Results,1,L3,L3-3,3,No-RAG,0.892578125
Sheet1 Results,1,L3,L3-3,3,RAG,0.95263671875
Sheet2 Results,2,L3,L3-3,3,No-RAG,0.89404296875
Sheet2 Results,2,L3,L3-3,3,RAG,0.95703125
Sheet3 Results,3,L3,L3-3,3,No-RAG,0.89599609375
Sheet3 Results,3,L3,L3-3,3,RAG,0.95654296875
Sheet1 Results,1,L3,L3-4,4,No-RAG,0.8271484375
Sheet1 Results,1,L3,L3-4,4,RAG,0.89306640625
Sheet2 Results,2,L3,L3-4,4,No-RAG,0.8154296875
Sheet2 Results,2,L3,L3-4,4,RAG,0.9267578125
Sheet3 Results,3,L3,L3-4,4,No-RAG,0.81201171875
Sheet3 Results,3,L3,L3-4,4,RAG,0.89013671875
Sheet1 Results,1,L3,L3-5,5,No-RAG,0.78955078125
Sheet1 Results,1,L3,L3-5,5,RAG,0.87353515625
Sheet2 Results,2,L3,L3-5,5,No-RAG,0.79736328125
Sheet2 Results,2,L3,L3-5,5,RAG,0.880859375
Sheet3 Results,3,L3,L3-5,5,No-RAG,0.7919921875
Sheet3 Results,3,L3,L3-5,5,RAG,0.90673828125
Sheet1 Results,1,L3,L3-6,6,No-RAG,0.85400390625
Sheet1 Results,1,L3,L3-6,6,RAG,0.8994140625
Sheet2 Results,2,L3,L3-6,6,No-RAG,0.8115234375
Sheet2 Results,2,L3,L3-6,6,RAG,0.89892578125
Sheet3 Results,3,L3,L3-6,6,No-RAG,0.86279296875
Sheet3 Results,3,L3,L3-6,6,RAG,0.8994140625
Sheet1 Results,1,L4,L4-1,1,No-RAG,0.92236328125
Sheet1 Results,1,L4,L4-1,1,RAG,0.9248046875
Sheet2 Results,2,L4,L4-1,1,No-RAG,0.849609375
Sheet2 Results,2,L4,L4-1,1,RAG,0.916015625
Sheet3 Results,3,L4,L4-1,1,No-RAG,0.90087890625
Sheet3 Results,3,L4,L4-1,1,RAG,0.919921875
Sheet1 Results,1,L4,L4-2,2,No-RAG,0.58203125
Sheet1 Results,1,L4,L4-2,2,RAG,0.845703125
Sheet2 Results,2,L4,L4-2,2,No-RAG,0.5966796875
Sheet2 Results,2,L4,L4-2,2,RAG,0.8046875
Sheet3 Results,3,L4,L4-2,2,No-RAG,0.5908203125
Sheet3 Results,3,L4,L4-2,2,RAG,0.83056640625
Sheet1 Results,1,L4,L4-3,3,No-RAG,0.81689453125
Sheet1 Results,1,L4,L4-3,3,RAG,0.8896484375
Sheet2 Results,2,L4,L4-3,3,No-RAG,0.83154296875
Sheet2 Results,2,L4,L4-3,3,RAG,0.88330078125
Sheet3 Results,3,L4,L4-3,3,No-RAG,0.83642578125
Sheet3 Results,3,L4,L4-3,3,RAG,0.84521484375
Sheet1 Results,1,L4,L4-4,4,No-RAG,0.8671875
Sheet1 Results,1,L4,L4-4,4,RAG,0.81494140625
Sheet2 Results,2,L4,L4-4,4,No-RAG,0.87646484375
Sheet2 Results,2,L4,L4-4,4,RAG,0.89892578125
Sheet3 Results,3,L4,L4-4,4,No-RAG,0.857421875
Sheet3 Results,3,L4,L4-4,4,RAG,0.86669921875
Sheet1 Results,1,L4,L4-5,5,No-RAG,0.89501953125
Sheet1 Results,1,L4,L4-5,5,RAG,0.91650390625
Sheet2 Results,2,L4,L4-5,5,No-RAG,0.904296875
Sheet2 Results,2,L4,L4-5,5,RAG,0.93115234375
Sheet3 Results,3,L4,L4-5,5,No-RAG,0.90576171875
Sheet3 Results,3,L4,L4-5,5,RAG,0.95361328125
Sheet1 Results,1,L4,L4-6,6,No-RAG,0.84765625
Sheet1 Results,1,L4,L4-6,6,RAG,0.8623046875
Sheet2 Results,2,L4,L4-6,6,No-RAG,0.8134765625
Sheet2 Results,2,L4,L4-6,6,RAG,0.82421875
Sheet3 Results,3,L4,L4-6,6,No-RAG,0.81787109375
Sheet3 Results,3,L4,L4-6,6,RAG,0.8623046875
