raw_rel_type,raw_rel_name,unique_triple_count,canonical_relation,decision_keep_merge_remove,notes
Data Collection and Processing-Automation-Paragraph,Data Collection and Processing-Automation-Paragraph,1,,,
Data Collection and Processing-Data Processing-Mocupy,Data Collection and Processing-Data Processing-Mocupy,1,,,
Data Collection and Processing-Data Processing-WebCT,Data Collection and Processing-Data Processing-WebCT,1,,,
Data collection and processing,Data collection and processing,1,,,
Data format,Data format,1,,,
Data management and computing,Data management and computing,1,,,
Design optimization (DAC requirements),Design optimization (DAC requirements),1,,,
Detector - Direct Scatter Detector,Detector - Direct Scatter Detector,1,,,
Detector - Indirect Imaging Detector,Detector - Indirect Imaging Detector,1,,,
Detector - Point Detector,Detector - Point Detector,1,,,
Detector-Area Detector,Detector-Area Detector,1,,,
Detector-Configuration,Detector-Configuration,1,,,
EH1 Introduction,EH1 Introduction,1,,,
Energy Resolution-NRS,Energy Resolution-NRS,1,,,
Energy Resolution-RIXS,Energy Resolution-RIXS,1,,,
Energy Resolution-XRS,Energy Resolution-XRS,1,,,
Energy resolution ΔE/E,Energy resolution ΔE/E,1,,,
Equipment parameters,Main parameters and equipment of 1W1B-XAFS beam line and experimental station,1,,,
Examples of application areas,Examples of application areas,1,,,
Examples of application fields - in-situ electrochemistry research on solid-state Li-S batteries,Examples of application fields - in-situ electrochemistry research on solid-state Li-S batteries,1,,,
Examples of application fields-Research on the reduction mechanism of mercury pollution,Examples of application fields-Research on the reduction mechanism of mercury pollution,1,,,
Experimental Method-Powder XRD,Experimental Method-Powder XRD,1,,,
Experimental Method-Single Crystal XRD,Experimental Method-Single Crystal XRD,1,,,
Experimental Methods - High Pressure PDF,Experimental Methods - High Pressure PDF,1,,,
Experimental Methods - Multiparticle XRD,Experimental Methods - Multiparticle XRD,1,,,
Experimental Methods - Radial XRD,Experimental Methods - Radial XRD,1,,,
Experimental Methods - Time-Resolved Diffraction,Experimental Methods - Time-Resolved Diffraction,1,,,
Experimental sample processing,Experimental sample processing,1,,,
Experimental steps,General XRD experimental measurements,1,,,
Experimental steps,Grazing Incidence Diffraction (GID) Measurements,1,,,
Experimental steps,Transmission XAFS experimental procedures,1,,,
Experimental steps for measuring fluorescence absorption spectrum of liquid samples,Experimental steps for measuring fluorescence absorption spectrum of liquid samples,1,,,
Focused spot size is smallest,Focused spot size is smallest,1,,,
General High Pressure Platform (GPT),General High Pressure Platform (GPT),1,,,
General introduction,General introduction,1,,,
Hard line exposure operation steps,Hard line exposure operation steps,1,,,
He measurement chamber electron yield absorption spectrum measurement experimental steps,He measurement chamber electron yield absorption spectrum measurement experimental steps,1,,,
He measurement chamber fluorescence absorption spectrum measurement experimental steps,He measurement chamber fluorescence absorption spectrum measurement experimental steps,1,,,
In situ device - additive manufacturing device,In situ device - additive manufacturing device,1,,,
In-situ device - dynamic loading device,In-situ device - dynamic loading device,1,,,
Insert light source and energy spectrum range,Insert light source and energy spectrum range,1,,,
Introduction to EH2,Introduction to EH2,1,,,
Introduction to each part - Main experimental station equipment - List,Introduction to each part - Main experimental station equipment - List,1,,,
Introduction to each part - main optical equipment - list,Introduction to each part - main optical equipment - list,1,,,
Introduction to each part-beam line,Introduction to each part-beam line,1,,,
Introduction to each part-experimental station,Introduction to each part-experimental station,1,,,
Introduction to each part-inserts,Introduction to each part-inserts,1,,,
Key Features - Detector Combo,Key Features - Detector Combo,1,,,
Key Features - Diverse Protein Data Acquisition Methods - Introduction,Key Features - Diverse Protein Data Acquisition Methods - Introduction,1,,,
Key Features - EH1 Integration,Key Features - EH1 Integration,1,,,
Key Features - EH2 Integration,Key Features - EH2 Integration,1,,,
Key Features - Highly Coherent Beam,Key Features - Highly Coherent Beam,1,,,
Key Features - Highly automated Raster Scan data collection - Paragraph,Key Features - Highly automated Raster Scan data collection - Paragraph,1,,,
Key Features - In Situ Plate Protein Growth and Collection Mode - Description,Key Features - In Situ Plate Protein Growth and Collection Mode - Description,1,,,
Key Features - In Situ Plate Protein Growth and Collection Mode - Support,Key Features - In Situ Plate Protein Growth and Collection Mode - Support,1,,,
Key Features - Incident Light Degree of Freedom,Key Features - Incident Light Degree of Freedom,1,,,
Key Features - Polarization Analysis,Key Features - Polarization Analysis,1,,,
Key Features – Fast CTR Analysis,Key Features – Fast CTR Analysis,1,,,
Laser Heating Platform (LHT),Laser Heating Platform (LHT),1,,,
Light flux at sample-XRS,Light flux at sample-XRS,1,,,
Light source performance and parameters,Light source performance and parameters,1,,,
Line Station Introduction-High-NESS,Line Station Introduction-High-NESS,1,,,
Line site design,Line site design,1,,,
Line site overview - main features,Line site overview - main features,1,,,
Line site review-scientific goals,Line site review-scientific goals,1,,,
Line station design index-BCDI,Line station design index-BCDI,1,,,
Line station design index-SAXS CDI,Line station design index-SAXS CDI,1,,,
Line station design index-coherent flux,Line station design index-coherent flux,1,,,
Line station design index-energy resolution,Line station design index-energy resolution,1,,,
Line station design indicators-Ptychography,Line station design indicators-Ptychography,1,,,
Line station design indicators-SAXS XPCS,Line station design indicators-SAXS XPCS,1,,,
Line station design indicators-WAXS XPCS,Line station design indicators-WAXS XPCS,1,,,
Line station design indicators-energy range,Line station design indicators-energy range,1,,,
Line station equipment-EXAFS measurement system,Line station equipment-EXAFS measurement system,1,,,
Line station equipment-KB focusing mirror,Line station equipment-KB focusing mirror,1,,,
Line station equipment-common accessories-1,Line station equipment-common accessories-1,1,,,
Line station equipment-common accessories-2,Line station equipment-common accessories-2,1,,,
Line station equipment-common accessories-list,Line station equipment-common accessories-list,1,,,
Line station equipment-detector-1,Line station equipment-detector-1,1,,,
Line station equipment-detector-2,Line station equipment-detector-2,1,,,
Line station equipment-detector-3,Line station equipment-detector-3,1,,,
Line station equipment-detector-SAXS-1,Line station equipment-detector-SAXS-1,1,,,
Line station equipment-detector-SAXS-2,Line station equipment-detector-SAXS-2,1,,,
Line station equipment-detector-WAXS,Line station equipment-detector-WAXS,1,,,
Line station equipment-detector-paragraph,Line station equipment-detector-paragraph,1,,,
Line station equipment-domestic automatic loading robot (Swordfish)-paragraph,Line station equipment-domestic automatic loading robot (Swordfish)-paragraph,1,,,
Line station equipment-experimental station composition,Line station equipment-experimental station composition,1,,,
Line station equipment-high-performance diffractometer (ARINAX-MD2S)-paragraph,Line station equipment-high-performance diffractometer (ARINAX-MD2S)-paragraph,1,,,
Line station equipment-liquid nitrogen cooling system (Oxford Cryosystems 1000 series)-paragraph,Line station equipment-liquid nitrogen cooling system (Oxford Cryosystems 1000 series)-paragraph,1,,,
Line station equipment-sample preparation equipment,Line station equipment-sample preparation equipment,1,,,
Line station equipment-sample preparation equipment-1,Line station equipment-sample preparation equipment-1,1,,,
Line station equipment-sample preparation equipment-2,Line station equipment-sample preparation equipment-2,1,,,
Line station equipment-sampling robot,Line station equipment-sampling robot,1,,,
Line station equipment-software control system-paragraph,Line station equipment-software control system-paragraph,1,,,
Line station equipment-supporting laboratory,Line station equipment-supporting laboratory,1,,,
Line station equipment-supporting laboratory-paragraph,Line station equipment-supporting laboratory-paragraph,1,,,
Line station equipment-vacuum chamber,Line station equipment-vacuum chamber,1,,,
Line station layout diagram-Picture 1,Line station layout diagram-Picture 1,1,,,
Line station layout diagram-Picture 2,Line station layout diagram-Picture 2,1,,,
Line station location and configuration,Line station location and configuration,1,,,
Line station manager,Line station manager,1,,,
Line station overview,Line station overview,1,,,
Line station overview - main parameters - energy resolution (ΔE/E),Line station overview - main parameters - energy resolution (ΔE/E),1,,,
Line station overview - main parameters - photon flux at the sample,Line station overview - main parameters - photon flux at the sample,1,,,
Luminous flux,Luminous flux,1,,,
Luminous flux at sample-NRS,Luminous flux at sample-NRS,1,,,
Luminous flux at sample-RIXS,Luminous flux at sample-RIXS,1,,,
Main Features - Directional Resonance Excitation,Main Features - Directional Resonance Excitation,1,,,
Main Features - Dynamic Detection,Main Features - Dynamic Detection,1,,,
Main Features - Element Identification,Main Features - Element Identification,1,,,
Main Features - High-Brightness Micro-Focused Spot Protein Crystallography - Paragraph,Main Features - High-Brightness Micro-Focused Spot Protein Crystallography - Paragraph,1,,,
Main Features - Photon High Throughput,Main Features - Photon High Throughput,1,,,
Main Features - Spiral Step Scanning Experimental Method - Paragraph,Main Features - Spiral Step Scanning Experimental Method - Paragraph,1,,,
Main Features - Title,Main Features - Title,1,,,
Main Features-Low Dimensional Structural Analysis,Main Features-Low Dimensional Structural Analysis,1,,,
Main Indicators - Energy Range,Main Indicators - Energy Range,1,,,
Main experimental method-SEM,Main experimental method-SEM,1,,,
Main experimental method-conventional transmission type,Main experimental method-conventional transmission type,1,,,
Main experimental method-grazing incidence measurement,Main experimental method-grazing incidence measurement,1,,,
Main experimental methods-Nano-holography,Main experimental methods-Nano-holography,1,,,
Main experimental methods-Ptychography,Main experimental methods-Ptychography,1,,,
Main experimental methods-nXANES,Main experimental methods-nXANES,1,,,
Main experimental methods-nXRD,Main experimental methods-nXRD,1,,,
Main experimental methods-nXRF,Main experimental methods-nXRF,1,,,
Main experimental methods-time resolution,Main experimental methods-time resolution,1,,,
Main features,Main features,1,,,
Main features - dotted circular light spot,Main features - dotted circular light spot,1,,,
Main features - large measuring range,Main features - large measuring range,1,,,
Main features - multiple focus modes,Main features - multiple focus modes,1,,,
Main features-Diverse sample environments,Main features-Diverse sample environments,1,,,
Main indicator - energy resolution,Main indicator - energy resolution,1,,,
Main indicator - luminous flux,Main indicator - luminous flux,1,,,
Main indicator - spot size,Main indicator - spot size,1,,,
Main parameters - Focused spot working distance - In-situ mode,Main parameters - Focused spot working distance - In-situ mode,1,,,
Main parameters - Luminous flux - In-situ mode,Main parameters - Luminous flux - In-situ mode,1,,,
Main parameters - Photon brightness @30 keV,Main parameters - Photon brightness @30 keV,1,,,
Main parameters - Photon flux @30 keV,Main parameters - Photon flux @30 keV,1,,,
Main parameters - cycle length,Main parameters - cycle length,1,,,
Main parameters - detector,Main parameters - detector,1,,,
Main parameters - energy range,Main parameters - energy range,1,,,
Main parameters - energy resolution,Main parameters - energy resolution,1,,,
Main parameters - fundamental wave light source FWHM divergence angle @Kmax,Main parameters - fundamental wave light source FWHM divergence angle @Kmax,1,,,
Main parameters - fundamental wave light source FWHM size @Kmax,Main parameters - fundamental wave light source FWHM size @Kmax,1,,,
Main parameters - imaging resolution,Main parameters - imaging resolution,1,,,
Main parameters - light source,Main parameters - light source,1,,,
Main parameters - luminous flux - high resolution mode,Main parameters - luminous flux - high resolution mode,1,,,
Main parameters - maximum spot (H×V),Main parameters - maximum spot (H×V),1,,,
Main parameters - maximum spot size (H×V),Main parameters - maximum spot size (H×V),1,,,
Main parameters - minimum focus spot - high resolution mode,Main parameters - minimum focus spot - high resolution mode,1,,,
Main parameters - minimum focus spot - in-situ mode,Main parameters - minimum focus spot - in-situ mode,1,,,
Main parameters - minimum spot (H×V),Main parameters - minimum spot (H×V),1,,,
Main parameters - minimum spot size (H×V),Main parameters - minimum spot size (H×V),1,,,
Main parameters - sample environment,Main parameters - sample environment,1,,,
Main parameters - sample size,Main parameters - sample size,1,,,
Main parameters - total length,Main parameters - total length,1,,,
Main parameters-FWHM opening angle @Kmax,Main parameters-FWHM opening angle @Kmax,1,,,
Main parameters-focused spot working distance-high resolution mode,Main parameters-focused spot working distance-high resolution mode,1,,,
Materials Chemistry Experiment Shed-Energy Range,Materials Chemistry Experiment Shed-Energy Range,1,,,
Materials Chemistry Experiment Shed-Energy Resolution,Materials Chemistry Experiment Shed-Energy Resolution,1,,,
Materials Chemistry Experiment Shed-Light Flux at Sample,Materials Chemistry Experiment Shed-Light Flux at Sample,1,,,
Materials Chemistry Experiment Shed-Sample Stage Load,Materials Chemistry Experiment Shed-Sample Stage Load,1,,,
Materials Chemistry Experiment Shed-Supported Experimental Methods,Materials Chemistry Experiment Shed-Supported Experimental Methods,1,,,
Materials Engineering Experiment Shed - Energy Resolution,Materials Engineering Experiment Shed - Energy Resolution,1,,,
Materials Engineering Experiment Shed - Supported Experimental Methods,Materials Engineering Experiment Shed - Supported Experimental Methods,1,,,
Materials Engineering Experiment Shed – Energy Range,Materials Engineering Experiment Shed – Energy Range,1,,,
Materials Engineering Experiment Shed-Light Flux at Sample,Materials Engineering Experiment Shed-Light Flux at Sample,1,,,
Materials Engineering Experiment Shed-Sample Bench Load,Materials Engineering Experiment Shed-Sample Bench Load,1,,,
Materials chemistry experimental shed-spot size at sample,Materials chemistry experimental shed-spot size at sample,1,,,
Materials engineering experimental shed-spot size at sample,Materials engineering experimental shed-spot size at sample,1,,,
Maximum light spot H×V,Maximum light spot H×V,1,,,
Minimum light spot H×V,Minimum light spot H×V,1,,,
Online measurement and efficiency improvement,Online measurement and efficiency improvement,1,,,
Optical Mode-Nano Mode,Optical Mode-Nano Mode,1,,,
Optical mode - Micron mode,Optical mode - Micron mode,1,,,
Optical mode - white light mode,Optical mode - white light mode,1,,,
Optical path layout diagram,Optical path layout diagram,1,,,
Overview of Line Stations-Line Station Layout Diagram,Overview of Line Stations-Line Station Layout Diagram,1,,,
Overview of Line Stations-Main Parameters-Energy Range,Overview of Line Stations-Main Parameters-Energy Range,1,,,
Overview of Line Stations-Main Parameters-Highest Spatial Resolution of Imaging,Overview of Line Stations-Main Parameters-Highest Spatial Resolution of Imaging,1,,,
Person in charge/PILOT contact person,Person in charge/PILOT contact person,1,,,
PyMca software for data processing,PyMca software for data processing,1,,,
Research Area - Industrial Biotechnology - Description,Research Area - Industrial Biotechnology - Description,1,,,
Research Area - Materials Science and Nanotechnology - Description,Research Area - Materials Science and Nanotechnology - Description,1,,,
Research Area-Basic Scientific Research-Description,Research Area-Basic Scientific Research-Description,1,,,
Research Area-Biomolecular Interaction Research-Description,Research Area-Biomolecular Interaction Research-Description,1,,,
Research Area-Drug Design and Development-Description,Research Area-Drug Design and Development-Description,1,,,
Research Area-Enzymology and Catalytic Mechanism Research-Explanation,Research Area-Enzymology and Catalytic Mechanism Research-Explanation,1,,,
Research Area-Material Science and Nanotechnology-Nanostructure Design,Research Area-Material Science and Nanotechnology-Nanostructure Design,1,,,
Research Areas - Agriculture and Plant Sciences - Description,Research Areas - Agriculture and Plant Sciences - Description,1,,,
Research Areas - Description,Research Areas - Description,1,,,
Research Areas - Medical Diagnosis and Treatment - Description,Research Areas - Medical Diagnosis and Treatment - Description,1,,,
Research Areas - Structural Biology and Functional Research - Description,Research Areas - Structural Biology and Functional Research - Description,1,,,
Research Areas-Agriculture and Plant Sciences-Photosynthesis Mechanism,Research Areas-Agriculture and Plant Sciences-Photosynthesis Mechanism,1,,,
Research Areas-Agriculture and Plant Sciences-Plant Disease Resistance Protein Research,Research Areas-Agriculture and Plant Sciences-Plant Disease Resistance Protein Research,1,,,
Research Areas-Basic Science Research-Protein Folding and Stability,Research Areas-Basic Science Research-Protein Folding and Stability,1,,,
Research Areas-Basic Scientific Research-Evolution and Functional Relationships,Research Areas-Basic Scientific Research-Evolution and Functional Relationships,1,,,
Research Areas-Biomolecular Interaction Research-Protein-Protein Interaction,Research Areas-Biomolecular Interaction Research-Protein-Protein Interaction,1,,,
Research Areas-Drug Design and Development-Drug-Target Interaction Research,Research Areas-Drug Design and Development-Drug-Target Interaction Research,1,,,
Research Areas-Drug Design and Development-Research on Drug Resistance Mechanisms,Research Areas-Drug Design and Development-Research on Drug Resistance Mechanisms,1,,,
Research Areas-Enzymology and Catalytic Mechanism Research-Enzyme Engineering,Research Areas-Enzymology and Catalytic Mechanism Research-Enzyme Engineering,1,,,
Research Areas-Industrial Biotechnology-Biocatalysis,Research Areas-Industrial Biotechnology-Biocatalysis,1,,,
Research Areas-Industrial Biotechnology-Industrial Enzyme Optimization,Research Areas-Industrial Biotechnology-Industrial Enzyme Optimization,1,,,
Research Areas-Materials Science and Nanotechnology-Protein Self-Assembly,Research Areas-Materials Science and Nanotechnology-Protein Self-Assembly,1,,,
Research Areas-Medical Diagnosis and Treatment-Antibody Engineering,Research Areas-Medical Diagnosis and Treatment-Antibody Engineering,1,,,
Research Areas-Pathogen Research and Vaccine Development-Bacterial Toxins and Host Interactions,Research Areas-Pathogen Research and Vaccine Development-Bacterial Toxins and Host Interactions,1,,,
Research Areas-Pathogen Research and Vaccine Development-Description,Research Areas-Pathogen Research and Vaccine Development-Description,1,,,
Research Areas-Structural Biology and Functional Research-Conformational Change Research,Research Areas-Structural Biology and Functional Research-Conformational Change Research,1,,,
Research Areas-Structural Biology and Functional Research-Protein Functional Analysis,Research Areas-Structural Biology and Functional Research-Protein Functional Analysis,1,,,
Research Highlights-Nano-Resolved Spectroscopy CT (Lithium-rich NMC),Research Highlights-Nano-Resolved Spectroscopy CT (Lithium-rich NMC),1,,,
Research areas-Drug design and development-Target protein structure analysis,Research areas-Drug design and development-Target protein structure analysis,1,,,
Research areas-Medical diagnosis and treatment-Disease-related protein research,Research areas-Medical diagnosis and treatment-Disease-related protein research,1,,,
Research areas-Pathogen research and vaccine development-Viral protein structure analysis,Research areas-Pathogen research and vaccine development-Viral protein structure analysis,1,,,
Research areas-biomolecular interaction research-protein-nucleic acid interaction,Research areas-biomolecular interaction research-protein-nucleic acid interaction,1,,,
Research areas-enzymology and catalytic mechanism research-analysis of enzyme activity centers,Research areas-enzymology and catalytic mechanism research-analysis of enzyme activity centers,1,,,
Resource download,Resource download,1,,,
Sample Preparation - About Samples,Sample Preparation - About Samples,1,,,
Sample Preparation - Key Parameters of Low Vibration-free Liquid Helium Closed Cycle Low-temperature and High-Pressure Device,Sample Preparation - Key Parameters of Low Vibration-free Liquid Helium Closed Cycle Low-temperature and High-Pressure Device,1,,,
Sample Preparation-Mode-1,Sample Preparation-Mode-1,1,,,
Sample Preparation-Mode-2,Sample Preparation-Mode-2,1,,,
Sample Preparation-Tip-1,Sample Preparation-Tip-1,1,,,
Sample Preparation-Tip-2,Sample Preparation-Tip-2,1,,,
Sample environment - cryostat,Sample environment - cryostat,1,,,
Sample environment - dynamic loading,Sample environment - dynamic loading,1,,,
Sample environment - resistance heating,Sample environment - resistance heating,1,,,
Sample environment-PE type press,Sample environment-PE type press,1,,,
Sample environment-double-sided infrared laser heating,Sample environment-double-sided infrared laser heating,1,,,
Sample environment-high temperature,Sample environment-high temperature,1,,,
Sample environment-high temperature gas-solid phase in-situ device,Sample environment-high temperature gas-solid phase in-situ device,1,,,
Sample environment-vacuum,Sample environment-vacuum,1,,,
Sample preparation,GIWAXS Batch Test Sample Preparation/Preparation,1,,,
Sample preparation,GIWAXS Batch Test Sample Preparation/Prepare Reference Connections,1,,,
Sample preparation,Liquid sample preparation,1,,,
Sample preparation,Powder sample preparation (tape method) steps,1,,,
Sample preparation,Powder sample pressing,1,,,
Sample preparation equipment,Sample preparation equipment,1,,,
Schematic diagram of beamline optical element layout,Schematic diagram of beamline optical element layout,1,,,
Schematic diagram of equipment layout in experimental shed,Schematic diagram of equipment layout in experimental shed,1,,,
Schematic diagram of experimental station,Schematic diagram of experimental station,1,,,
Science Goal-1,Science Goal-1,1,,,
Science Goal-2,Science Goal-2,1,,,
Scientific Applications - Dynamic Loading of Advanced Materials,Scientific Applications - Dynamic Loading of Advanced Materials,1,,,
Scientific Applications - In-situ real-time characterization of additive manufacturing processes,Scientific Applications - In-situ real-time characterization of additive manufacturing processes,1,,,
Scientific Applications-High Energy Density Physics,Scientific Applications-High Energy Density Physics,1,,,
Scientific goals - refinement,Scientific goals - refinement,1,,,
Soft line exposure operation steps,Soft line exposure operation steps,1,,,
Spot parameters,Spot parameters,1,,,
Spot parameters at sample,Spot parameters at sample,1,,,
Spot parameters at the sample,Spot parameters at the sample,1,,,
Storage ring energy,HEPS electronic energy,1,,,
Submicron Focusing Platform (Sub‑μT),Submicron Focusing Platform (Sub‑μT),1,,,
Supporting laboratories - availability,Supporting laboratories - availability,1,,,
Supporting laboratory-equipment,Supporting laboratory-equipment,1,,,
Things to note,Things to note,1,,,
Things to note during the experiment,Things to note during the experiment,1,,,
What to do after the experiment,What to do after the experiment,1,,,
X-ray exposure operating equipment,X-ray exposure operating equipment,1,,,
XPCS (Photon Correlation Spectroscopy),XPCS (Photon Correlation Spectroscopy),1,,,
beamline structure,beamline structure,1,,,
brightness,HEPS brightness,1,,,
data acquisition system,data acquisition system,1,,,
development plan,development plan,1,,,
storage ring status,storage ring status,1,,,
working mode,working mode,1,,,
