sub_name,sub_type,rel_type,rel_name,obj_name,obj_type
"1B3-Lithography, LIGA experimental station","1B3-Lithography, LIGA experimental station",experimental techniques,experimental techniques,Depth X-ray Lithography,experimental techniques
"1B3-Lithography, LIGA experimental station","1B3-Lithography, LIGA experimental station",light type,Spot parameters,The sample is white light,Spot parameters
"1B3-Lithography, LIGA experimental station","1B3-Lithography, LIGA experimental station",Spot size at sample,Spot parameters,Light spot horizontal width 55mm,Spot parameters
"1B3-Lithography, LIGA experimental station","1B3-Lithography, LIGA experimental station",Light source energy,Spot parameters,"The sample stage is scanned and exposed in the vertical direction. Among them, the energy of nanolithography light source is 1-3 keV",Spot parameters
"1B3-Lithography, LIGA experimental station","1B3-Lithography, LIGA experimental station",energy range,Spot parameters,X-ray depth lithography light source energy is 3-12 keV,Spot parameters
"1B3-Lithography, LIGA experimental station","1B3-Lithography, LIGA experimental station",Photon flux at sample,Spot parameters,Luminous flux is greater than 1015phs/s,Spot parameters
"1B3-Lithography, LIGA experimental station","1B3-Lithography, LIGA experimental station",Line station status,Line station status,normal operation,Line station status
4W1A-X-ray imaging station,4W1A Experimental Station,Research content,Research content,"Crystal materials, biomedical materials, composite materials, energy materials, etc.",Research areas
4W1A-X-ray imaging station,4W1A Experimental Station,experimental techniques,experimental techniques,Crystal morphology,experimental techniques
4W1A-X-ray imaging station,4W1A Experimental Station,experimental techniques,experimental techniques,Micron phase contrast imaging,experimental techniques
4W1A-X-ray imaging station,4W1A Experimental Station,experimental techniques,experimental techniques,Nano full field imaging,experimental techniques
4W1A-X-ray imaging station,4W1A Experimental Station,energy range,Spot parameters,Micron imaging: Energy range: 6 - 26 keV,experimental techniques
4W1A-X-ray imaging station,4W1A Experimental Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s)~1012 @ 8 keV,Spot parameters
4W1A-X-ray imaging station,4W1A Experimental Station,spatial resolution,Spot parameters,"When the spatial resolution is ~10 μm, ~5 μm, ~1 μm",Spot parameters
4W1A-X-ray imaging station,4W1A Experimental Station,Spot size,Spot parameters,"The spot size (H×V) is 20 mm×10 mm, 10 mm×5 mm, 2 mm×1 mm respectively.",Spot parameters
4W1A-X-ray imaging station,4W1A Experimental Station,energy range,Spot parameters,Nanoimaging: Energy range: 6-10 keV,Spot parameters
4W1A-X-ray imaging station,4W1A Experimental Station,Photon flux at sample,Spot parameters,Nanoimaging: Photon flux at sample (phs/s) ~ 108 @ 8 keV,Spot parameters
4W1A-X-ray imaging station,4W1A Experimental Station,spatial resolution,Spot parameters,"Nanoimaging: when spatial resolution is 30 nm, 50 nm, 100 nm",Spot parameters
4W1A-X-ray imaging station,4W1A Experimental Station,Spot size,Spot parameters,"Nanoimaging: Spot sizes (H×V) are 10 μm×10 μm, 15 μm×15 μm, and 65 μm×65 μm respectively.",Spot parameters
4W1A-X-ray imaging station,4W1A Experimental Station,Line station status,Line station status,normal operation,Line station status
4W1B-X-ray fluorescence microanalysis experimental station,4W1B Experimental Station,Research areas,Research areas,"Physics, catalysis, biomedicine, environmental science, materials science, humanistic archeology, legal appraisal",Research areas
4W1B-X-ray fluorescence microanalysis experimental station,4W1B Experimental Station,experimental techniques,experimental techniques,X-ray fluorescence spectrometry (XRF),experimental techniques
4W1B-X-ray fluorescence microanalysis experimental station,4W1B Experimental Station,experimental techniques,experimental techniques,Micro-XRF,experimental techniques
4W1B-X-ray fluorescence microanalysis experimental station,4W1B Experimental Station,experimental techniques,experimental techniques,XES (emission spectrum),experimental techniques
4W1B-X-ray fluorescence microanalysis experimental station,4W1B Experimental Station,experimental mode,Spot parameters,Experimental mode: pink light focus mode,Spot parameters
4W1B-X-ray fluorescence microanalysis experimental station,4W1B Experimental Station,energy range,Spot parameters,Energy range: 5-18 keV,Spot parameters
4W1B-X-ray fluorescence microanalysis experimental station,4W1B Experimental Station,energy resolution,Spot parameters,Energy resolution (△E/E)<5.5×10-4,Spot parameters
4W1B-X-ray fluorescence microanalysis experimental station,4W1B Experimental Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s): >1×1010 @ 15 keV,Spot parameters
4W1B-X-ray fluorescence microanalysis experimental station,4W1B Experimental Station,Spot size at sample,Spot parameters,Spot size at sample: 50(H)×50(V) μm2,Spot parameters
4W1B-X-ray fluorescence microanalysis experimental station,4W1B Experimental Station,XRF detection limit,Spot parameters,XRF detection limit: 1 ppm,Spot parameters
4W1B-X-ray fluorescence microanalysis experimental station,4W1B Experimental Station,Line station status,Line station status,normal operation,Line station status
4W2-High voltage experimental station,4W2 Experimental Station,Research content,Research content,Research on physical properties under high temperature/low temperature and high pressure,Research content
4W2-High voltage experimental station,4W2 Experimental Station,experimental techniques,experimental techniques,High pressure powder XRD,experimental techniques
4W2-High voltage experimental station,4W2 Experimental Station,experimental techniques,experimental techniques,High-voltage single crystal XRD,experimental techniques
4W2-High voltage experimental station,4W2 Experimental Station,experimental techniques,experimental techniques,High pressure radial XRD,experimental techniques
4W2-High voltage experimental station,4W2 Experimental Station,energy range,Spot parameters,Energy range: 10-25 keV (monochromatic light),Spot parameters
4W2-High voltage experimental station,4W2 Experimental Station,energy resolution,Spot parameters,Energy resolution (△E/E): 7×10-4 @ 20 keV,Spot parameters
4W2-High voltage experimental station,4W2 Experimental Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s): 1.2×109 @ 20 keV,Spot parameters
4W2-High voltage experimental station,4W2 Experimental Station,Spot size at sample,Spot parameters,Spot size at sample: 33×12 μm2,Spot parameters
4W2-High voltage experimental station,4W2 Experimental Station,Line station status,Line station status,Stop running,Line station status
4B8-Vacuum UV Experiment Station,4B8-Experiment Station,Research areas,Research areas,Luminescent materials such as phosphors and scintillator,Research areas
4B8-Vacuum UV Experiment Station,4B8-Experiment Station,experimental techniques,experimental techniques,Fluorescence spectrum,experimental techniques
4B8-Vacuum UV Experiment Station,4B8-Experiment Station,experimental techniques,experimental techniques,absorption spectrum,experimental techniques
4B8-Vacuum UV Experiment Station,4B8-Experiment Station,experimental techniques,experimental techniques,Isovacuum UV spectroscopy,experimental techniques
4B8-Vacuum UV Experiment Station,4B8-Experiment Station,Wavelength range,Spot parameters,Wavelength range: 130-360 nm,Spot parameters
4B8-Vacuum UV Experiment Station,4B8-Experiment Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s): 2×109 @ 180 nm,Spot parameters
4B8-Vacuum UV Experiment Station,4B8-Experiment Station,Spot parameters: spot size at sample,Spot parameters,Spot size at sample: 2(H)×1(V) mm2,Spot parameters
4B8-Vacuum UV Experiment Station,4B8-Experiment Station,Line station status,Line station status,Stop running,Line station status
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,Research areas,Research areas,"Energy environment, materials, chemistry, biological science and other fields",Research areas
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,Research content,Research content,"Detector calibration, optical component characterization, X-ray radiation measurement standards",Research content
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,experimental techniques,experimental techniques,X-ray absorption spectroscopy (XAS),experimental techniques
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,experimental techniques,experimental techniques,X-ray optical metrology standard determination,experimental techniques
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,experimental techniques,experimental techniques,X-ray detector standard transfer and calibration,experimental techniques
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,experimental techniques,experimental techniques,Transmittance of optical components,experimental techniques
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,experimental techniques,experimental techniques,Reflectance Diffraction Efficiency Calibration,experimental techniques
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,experimental techniques,experimental techniques,Diffraction efficiency calibration,experimental techniques
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,energy range,Spot parameters,Energy range: Si(111): 2100-5700 eV InSb(111): 1750-3400 eV,Spot parameters
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,energy resolution,Spot parameters,Energy resolution (△E/E)~7000,Spot parameters
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s): ~1x1011 @ S K-edge,Spot parameters
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,Spot size at sample,Spot parameters,Spot size at sample: 5×3 mm2,Spot parameters
4B7A-Zhongneng Experimental Station,4B7A Experiment Station,Line station status,Line station status,normal operation,Line station status
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,Research areas,Research areas,"Energy environment, materials, chemistry and other scientific fields",Research areas
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,Research content,Research content,"Detector calibration, optical component characterization, X-ray metrology standards",Research content
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,experimental techniques,experimental techniques,Near-edge X-ray absorption spectroscopy (XANES),experimental techniques
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,experimental techniques,experimental techniques,X-ray optical metrology standard determination,experimental techniques
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,experimental techniques,experimental techniques,X-ray detector standard transfer and calibration,experimental techniques
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,experimental techniques,experimental techniques,Transmittance calibration of optical components,experimental techniques
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,experimental techniques,experimental techniques,Reflectivity Calibration of Optical Components,experimental techniques
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,energy range,Spot parameters,Energy range: 50-1700 eV,Spot parameters
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,energy resolution,Spot parameters,Energy resolution (△E/E) ~ 1000,Spot parameters
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s)>1×1010 @ Fe L-edge,Spot parameters
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,Spot size at sample,Spot parameters,"Spot size at sample: 1×0.5 mm2 (focus), up to 10×5 mm2 (defocus)",Spot parameters
4B7B-Soft X-ray Experiment Station,4B7B Experiment Station,Line station status,Line station status,normal operation,Line station status
4B9A-Diffraction Station,4B9A Experiment Station,Research content,Research content,"Materials science, nanoscience, catalytic energy, bioscience",Research content
4B9A-Diffraction Station,4B9A Experiment Station,experimental techniques,experimental techniques,X-ray absorption fine structure (XAFS),experimental techniques
4B9A-Diffraction Station,4B9A Experiment Station,experimental techniques,experimental techniques,X-ray diffraction (XRD),experimental techniques
4B9A-Diffraction Station,4B9A Experiment Station,experimental techniques,experimental techniques,X-ray reflectivity (XRR),experimental techniques
4B9A-Diffraction Station,4B9A Experiment Station,experimental techniques,experimental techniques,Diffraction Anomaly Fine Structure (DAFS),experimental techniques
4B9A-Diffraction Station,4B9A Experiment Station,energy range,Spot parameters,Energy range: 5-13 keV,Spot parameters
4B9A-Diffraction Station,4B9A Experiment Station,energy resolution,Spot parameters,Energy resolution (△E/E): 3×10-4,Spot parameters
4B9A-Diffraction Station,4B9A Experiment Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s): 1×1010 @ 8 keV,Spot parameters
4B9A-Diffraction Station,4B9A Experiment Station,Spot size at sample,Spot parameters,Spot size at sample: 2(H)×1(V) mm2,Spot parameters
4B9A-Diffraction Station,4B9A Experiment Station,Angular resolution,Spot parameters,Angular resolution: 0.9 arc seconds,Spot parameters
4B9A-Diffraction Station,4B9A Experiment Station,Line station status,Line station status,Stop running,Line station status
4B9B-Photoelectron Spectroscopy Experiment Station,4B9B Experiment Station,Research areas,Research areas,"Materials science, catalytic energy, electronic structure research",Research areas
4B9B-Photoelectron Spectroscopy Experiment Station,4B9B Experiment Station,experimental techniques,experimental techniques,Synchrotron radiation photoelectron spectroscopy (SRPES),experimental techniques
4B9B-Photoelectron Spectroscopy Experiment Station,4B9B Experiment Station,experimental techniques,experimental techniques,Angle resolved photoelectron spectroscopy (ARPES),experimental techniques
4B9B-Photoelectron Spectroscopy Experiment Station,4B9B Experiment Station,experimental techniques,experimental techniques,Soft X-ray Absorption Spectroscopy (NEXAFS),experimental techniques
4B9B-Photoelectron Spectroscopy Experiment Station,4B9B Experiment Station,Wavelength range,Spot parameters,Wavelength range: 130-360 nm,Spot parameters
4B9B-Photoelectron Spectroscopy Experiment Station,4B9B Experiment Station,Photon flux at sample,Spot parameters,Photon flux at sample (phs/s): 2×109 @ 180 nm,Spot parameters
4B9B-Photoelectron Spectroscopy Experiment Station,4B9B Experiment Station,Spot size at sample,Spot parameters,Spot size at sample: 2(H)×1(V) mm2,Spot parameters
4B9B-Photoelectron Spectroscopy Experiment Station,4B9B Experiment Station,Line station status,Line station status,Stop running,Line station status
HEPS,high energy synchrotron radiation,Beam line,Beam line,Biomacromolecule microcrystalline diffraction line station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,Low dimensional structure probe line station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,Engineering Materials Line Station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,Pink light small angle scattering ray station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,Hard X-ray coherent scattering station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,Hard X-ray Nanoprobe Line Station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,Hard X-ray Imaging Line Station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,Structural Dynamics Line Station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,X-ray microscopy imaging line station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,High voltage line station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,High resolution spectroscopy line station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,High-resolution nanoelectronic structure line station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,Optical test line station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,Universal Environmental Spectroscopy Line Station,Beam line
HEPS,high energy synchrotron radiation,Beam line,Beam line,X-ray absorption spectroscopy line station,Beam line
Biomacromolecule microcrystalline diffraction line station,ID02,energy range,Spot parameters,5–18 keV,Spot parameters
Biomacromolecule microcrystalline diffraction line station,ID02,energy resolution,Spot parameters,(ΔE/E)~2E-4,Spot parameters
Biomacromolecule microcrystalline diffraction line station,ID02,Minimum spot size,Spot parameters,(H×V)1 µm × 1 µm,Spot parameters
Biomacromolecule microcrystalline diffraction line station,ID02,Maximum spot size,Spot parameters,(H×V)18 µm × 28 µm,Spot parameters
Biomacromolecule microcrystalline diffraction line station,ID02,Luminous flux,Spot parameters,1E13 phs/s,Spot parameters
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed – Energy Range,Spot parameters,50–170 keV,Spot parameters
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed - Energy Resolution,Spot parameters,10^{-3},Spot parameters
Engineering Materials Line Station,ID07,Materials engineering experimental shed-spot size at sample,Spot parameters,"~1 mm × 1 mm (maximum), 5 μm × 5 μm (minimum)",Spot parameters
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed-Light Flux at Sample,Spot parameters,"2×10^{12} phs/s (@100 keV, 200 mA, unfocused)",Spot parameters
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed-Sample Bench Load,Spot parameters,">200 kg (comprehensive), >1.5 t (heavy load)",experimental techniques
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed-Experimental Technology,experimental techniques,Single crystal diffraction,experimental techniques
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed-Experimental Technology,experimental techniques,powder diffraction,experimental techniques
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed-Experimental Technology,experimental techniques,depth resolved diffraction,experimental techniques
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed-Experimental Technology,experimental techniques,time resolved diffraction,experimental techniques
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed-Experimental Technology,experimental techniques,XRD-CT,experimental techniques
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed-Experimental Technology,experimental techniques,Full field/scan+absorption/phase contrast+projection imaging/CT,experimental techniques
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed-Experimental Technology,experimental techniques,Grain-Resolved Diffraction Contrast Imaging,experimental techniques
Engineering Materials Line Station,ID07,Materials Engineering Experiment Shed-Experimental Technology,experimental techniques,PDF,Spot parameters
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Energy Range,Spot parameters,50–170 keV,Spot parameters
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Energy Resolution,Spot parameters,10^{-3},Spot parameters
Engineering Materials Line Station,ID07,Materials chemistry experimental shed-spot size at sample,Spot parameters,~0.7 mm × 0.7 mm,Spot parameters
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Light Flux at Sample,Spot parameters,"2×10^{12} phs/s (@100 keV, 200 mA, unfocused)",Spot parameters
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Sample Stage Load,Spot parameters,>200 kg,experimental techniques
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Experimental Technology,experimental techniques,SAXS,experimental techniques
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Experimental Technology,experimental techniques,WAXS,experimental techniques
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Experimental Technology,experimental techniques,SAXS+WAXS,experimental techniques
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Experimental Technology,experimental techniques,Time-resolved SAXS,experimental techniques
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Experimental Technology,experimental techniques,PDF,experimental techniques
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Experimental Technology,experimental techniques,Single crystal diffraction,experimental techniques
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Experimental Technology,experimental techniques,powder diffraction,experimental techniques
Engineering Materials Line Station,ID07,Materials Chemistry Experiment Shed-Experimental Technology,experimental techniques,Full field/scan+absorption/phase contrast+projection imaging/CT,Spot parameters
Pink light small angle scattering ray station,ID08,energy range,Spot parameters,8–12 keV,Spot parameters
Pink light small angle scattering ray station,ID08,energy resolution,Spot parameters,1%,Spot parameters
Pink light small angle scattering ray station,ID08,Minimum spot,Spot parameters,100 µm × 100 µm,Spot parameters
Pink light small angle scattering ray station,ID08,Maximum spot,Spot parameters,500 µm × 500 µm,Spot parameters
Pink light small angle scattering ray station,ID08,Luminous flux,Spot parameters,5E14,sample environment
Pink light small angle scattering ray station,ID08,sample environment,sample environment,"High temperature, low temperature, stretching, liquid phase synthesis",experimental techniques
Pink light small angle scattering ray station,ID08,experimental techniques,experimental techniques,"WAXS, SAXS, USAXS technology or combined measurements.",experimental techniques
